,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,96.969696969697%,57.4501325027086%,0.625ms,1,4135.43489646912,0.0%,100.0%
0,89.4736842105263%,37.6441505463684%,0.58823529411765ms,4,5145.36124554802,25.0%,75.0%
0,89.1891891891892%,53.9615889277422%,0.60606060606061ms,4,4338.03562233665,50.0%,50.0%
0,86.4864864864865%,45.1214276021346%,0.625ms,5,4215.13865661621,20.0%,80.0%
0,89.1891891891892%,53.5188375323108%,0.60606060606061ms,4,4608.7226229581,75.0%,25.0%
0,89.7435897435898%,43.7768612589155%,0.57142857142857ms,4,5421.74707728795,50.0%,50.0%
0,100.0%,49.2295508272946%,0.625ms,0,3448.76198005676,nan%,nan%
0,97.2972972972973%,55.2283205919796%,0.55555555555556ms,1,3567.93842739529,0.0%,100.0%
0,92.1052631578947%,47.4013024994305%,0.57142857142857ms,3,3347.7373046875,0.0%,100.0%
0,92.1052631578947%,45.9966552257538%,0.57142857142857ms,3,3911.96078404018,0.0%,100.0%
0,86.8421052631579%,52.7577066060269%,0.60606060606061ms,5,4336.81167510062,20.0%,80.0%
0,84.6153846153846%,53.4060410365011%,0.60606060606061ms,6,3963.32876494437,50.0%,50.0%
0,94.2857142857143%,55.8123525119189%,0.60606060606061ms,2,3779.12238473603,0.0%,100.0%
0,82.5%,49.8551620226918%,0.60606060606061ms,7,4069.61386200876,14.2857142857143%,85.7142857142857%
